City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Mataura,-46.1927,168.8643,46.47,91,2,3.15,NZ,2022-07-03 15:53:10,clear sky
1,Saskylakh,71.9167,114.0833,51.4,56,100,15.5,RU,2022-07-03 15:53:11,overcast clouds
2,Ribeira Grande,38.5167,-28.7,72.0,68,75,9.22,PT,2022-07-03 15:53:11,broken clouds
3,Ambon,-3.6954,128.1814,77.23,15,40,5.75,ID,2022-07-03 15:53:11,light rain
4,Ulladulla,-35.35,150.4667,56.3,83,100,19.62,AU,2022-07-03 15:53:12,light rain
5,Mogadishu,2.0371,45.3438,76.66,78,69,21.16,SO,2022-07-03 15:53:12,broken clouds
6,Saldanha,-33.0117,17.9442,59.05,80,15,6.62,ZA,2022-07-03 15:53:12,few clouds
7,Erenhot,43.6475,111.9767,71.11,69,70,6.85,CN,2022-07-03 15:53:12,broken clouds
8,Vaini,-21.2,-175.2,71.76,73,20,8.05,TO,2022-07-03 15:53:13,few clouds
9,Muscat,23.6139,58.5922,90.05,70,99,8.43,OM,2022-07-03 15:53:13,overcast clouds
10,Hobart,-42.8794,147.3294,44.06,90,48,8.05,AU,2022-07-03 15:53:13,scattered clouds
11,Busselton,-33.65,115.3333,52.11,66,0,11.41,AU,2022-07-03 15:53:14,clear sky
12,Khadyzhensk,44.4256,39.5319,71.49,60,0,2.59,RU,2022-07-03 15:53:14,clear sky
13,Severo-Kurilsk,50.6789,156.125,47.07,92,52,11.39,RU,2022-07-03 15:53:15,broken clouds
14,Chaozhou,23.6651,116.6379,80.46,96,100,3.15,CN,2022-07-03 15:53:15,overcast clouds
15,Kununurra,-15.7667,128.7333,66.18,34,19,9.22,AU,2022-07-03 15:53:15,few clouds
16,Fortuna,40.5982,-124.1573,57.65,94,75,1.01,US,2022-07-03 15:53:16,broken clouds
17,Maragogi,-9.0122,-35.2225,79.48,73,33,15.08,BR,2022-07-03 15:53:16,scattered clouds
18,Bolton,53.5833,-2.4333,65.8,66,52,8.99,GB,2022-07-03 15:53:16,broken clouds
19,Bluff,-46.6,168.3333,46.8,68,7,21.21,NZ,2022-07-03 15:53:17,clear sky
20,Victoria,22.2855,114.1577,84.38,86,100,18.99,HK,2022-07-03 15:52:58,overcast clouds
21,Rikitea,-23.1203,-134.9692,75.09,73,11,20.24,PF,2022-07-03 15:53:17,light rain
22,Huayang,34.4155,109.9939,66.09,82,0,6.69,CN,2022-07-03 15:53:17,clear sky
23,Albany,42.6001,-73.9662,78.03,41,62,1.01,US,2022-07-03 15:53:18,broken clouds
24,Naze,28.3667,129.4833,77.92,90,100,21.18,JP,2022-07-03 15:53:18,overcast clouds
25,Whitehorse,60.7161,-135.0538,56.17,76,0,0.0,CA,2022-07-03 15:53:19,clear sky
26,Cherskiy,68.75,161.3,44.13,97,100,1.03,RU,2022-07-03 15:53:19,light rain
27,Hermanus,-34.4187,19.2345,53.8,76,57,9.28,ZA,2022-07-03 15:53:19,broken clouds
28,Thompson,55.7435,-97.8558,53.76,94,75,3.44,CA,2022-07-03 15:50:17,broken clouds
29,Port Blair,11.6667,92.75,83.08,83,100,15.46,IN,2022-07-03 15:53:20,overcast clouds
30,Hailey,43.5196,-114.3153,72.0,53,0,11.5,US,2022-07-03 15:53:20,clear sky
31,Hamilton,39.1834,-84.5333,86.41,48,20,3.0,US,2022-07-03 15:52:16,few clouds
32,Kapaa,22.0752,-159.319,77.32,83,100,17.27,US,2022-07-03 15:53:20,overcast clouds
33,Bredasdorp,-34.5322,20.0403,52.7,78,94,4.88,ZA,2022-07-03 15:53:21,overcast clouds
34,Porto Walter,-8.2686,-72.7439,90.93,43,61,2.75,BR,2022-07-03 15:53:21,broken clouds
35,Longyearbyen,78.2186,15.6401,51.64,76,75,13.8,SJ,2022-07-03 15:53:21,broken clouds
36,Iqaluit,63.7506,-68.5145,47.93,66,100,16.11,CA,2022-07-03 15:53:22,light rain
37,Hilo,19.7297,-155.09,72.63,96,87,1.99,US,2022-07-03 15:53:22,overcast clouds
38,Hithadhoo,-0.6,73.0833,82.69,76,97,8.21,MV,2022-07-03 15:53:23,overcast clouds
39,Faya,18.3851,42.4509,79.32,35,13,10.4,SA,2022-07-03 15:53:23,few clouds
40,Jamestown,42.097,-79.2353,73.53,46,0,5.75,US,2022-07-03 15:53:23,clear sky
41,Arraial Do Cabo,-22.9661,-42.0278,80.56,54,0,11.5,BR,2022-07-03 15:53:24,clear sky
42,Furano,43.2818,142.4743,64.6,94,60,1.7,JP,2022-07-03 15:53:24,broken clouds
43,Vardo,70.3705,31.1107,57.18,88,75,16.11,NO,2022-07-03 15:53:24,broken clouds
44,Port Lincoln,-34.7333,135.8667,53.33,68,100,11.61,AU,2022-07-03 15:49:57,overcast clouds
45,Biankouma,7.7391,-7.6138,74.61,91,100,2.95,CI,2022-07-03 15:53:25,moderate rain
46,Solok,-0.7918,100.6593,72.55,89,64,1.99,ID,2022-07-03 15:54:25,broken clouds
47,Presidencia Roque Saenz Pena,-26.7852,-60.4388,63.01,71,100,3.38,AR,2022-07-03 15:54:25,overcast clouds
48,Atuona,-9.8,-139.0333,77.99,75,19,19.93,PF,2022-07-03 15:54:26,few clouds
49,Quatre Cocos,-20.2078,57.7625,69.91,77,80,22.1,MU,2022-07-03 15:54:26,light rain
50,Ushuaia,-54.8,-68.3,37.06,87,100,9.22,AR,2022-07-03 15:54:26,overcast clouds
51,Qaanaaq,77.484,-69.3632,37.04,99,100,10.78,GL,2022-07-03 15:54:27,light rain
52,Savona,44.3,8.2667,90.52,73,0,4.52,IT,2022-07-03 15:54:27,clear sky
53,Tateyama,34.9833,139.8667,77.09,88,100,17.4,JP,2022-07-03 15:54:27,overcast clouds
54,Oktyabrskiy,54.4815,53.471,63.19,84,36,5.23,RU,2022-07-03 15:54:28,scattered clouds
55,Aklavik,68.2191,-135.0107,73.4,60,20,4.61,CA,2022-07-03 15:54:28,smoke
56,Klaksvik,62.2266,-6.589,50.92,87,99,24.47,FO,2022-07-03 15:54:28,overcast clouds
